County,Waste Type,Operation Type,Permit ID,Permit Name,Status,Contact,Telephone,Address1,Address2,Address3,Address_Full,City,Sate,Zip
Alamance,CD,LF,0104-CDLF-1993,Austin Quarter C&D Unit,Active,Mr. Richard Hill,(336) 376-0411,2701 Austin Quarter Road,,2701 Austin Quarter Road,"2701 Austin Quarter Rd, Graham, NC",Graham,NC,27253
Alamance,CD,LF,0105-CDLF-1998,Cobles C&D Landfill,Active,Mrs. Deanna Martin,(336) 264-4894,5833 Foster Store Rd,,5833 Foster Store Rd,"5833 Foster Store Rd, Liberty, NC",Liberty,NC,27298
Alamance,CD,TP,0105-TP-,Cobles C&D T&P,Active,Mrs. Deanna Martin,(336) 565-4750,5833 Foster Store Road,,5833 Foster Store Road,"5833 Foster Store Road, Liberty, NC",Liberty,NC,27298
Alexander,CD,LF,0201-CDLF-1997,Alexander County CDLF,Active,Mr. Josh Mitchell,(828) 632-1101,621 Liledoun Rd,,621 Liledoun Rd,"621 Liledoun Rd, Taylorsville, NC",Taylorsville,NC,28681
Avery,CD,LF,0603-CDLF-1996,Avery County C&D Landfill,Active,Mr. William Foster,(828) 737-5420,,2175 Brushy Creek Rd,2175 Brushy Creek Rd,"2175 Brushy Creek Rd, Newland, NC",Newland,NC,28657
Brunswick,CD,LF*,1007-CDLF-1997,Brunswick County CDLF,Active,Mr. Jeremy Baker,(910) 253-6314,,172 Landfill Rd NE,172 Landfill Rd NE,"172 Landfill Rd NE, Bolivia, NC",Bolivia,NC,28422
Buncombe,CD,LF,1107-CDLF-1998,Buncombe County C&D Unit,Active,Mr. Dane Pedersen,(828) 250-5460,81 Panther Branch Road,,81 Panther Branch Road,"81 Panther Branch Road, Alexander, NC",Alexander,NC,28701
Burke,CD,LF,1203-CDLF-2014,Burke County Johns River Waste Management,Active,Mr. Mark Delehant,(828) 764-9064,,2500 Marsh Trail,2500 Marsh Trail,"2500 Marsh Trail, Morganton, NC",Morganton,NC,28680-1486
Cabarrus,CD,LF,1302-CDLF-2006,Cabarrus County CDLF,Active,Mr. Kevin Grant,(704) 920-3209,,4441 Irish Potato Road,4441 Irish Potato Road,"4441 Irish Potato Road, Concord, NC",Concord,NC,28026
Cabarrus,CD,LF,1306-CDLF-2000,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,Mr. Andrew Brown,(704) 201-5944,2105 Speedrail Court,,2105 Speedrail Court,"2105 Speedrail Court, Concord, NC",Concord,NC,28025
Cabarrus,CD,Compost,1306-COMPOST-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,Mr. Andrew Burris,(704) 201-5944,2105 Speedrail Court,,2105 Speedrail Court,"2105 Speedrail Court, Concord, NC",Concord,NC,28025
Carteret,CD,Trans,1607-TRANSFER-2019,Green Recycling Transfer Station,Active,Mr. Kevin Dail,(910) 284-2309,,812 Hibbs Rd,812 Hibbs Rd,"812 Hibbs Rd, Newport, NC",Newport,NC,28546
Catawba,CD,LF,1803-CDLF-,Blackburn Resource Recovery C&D Facility,Active,Mr. Rodney Hamby,(704) 462-1348,,3993 Rocky Ford Road,3993 Rocky Ford Road,"3993 Rocky Ford Road, Newton, NC",Newton,NC,28658
Chatham,CD,TP,1912-TP-2020,Pinnacle Waste Goldson Facility,Active,Mrs. Amy Hildreth,(919) 708-8230,,67 Gulf Rd.,67 Gulf Rd.,"67 Gulf Rd., Goldston, NC",Goldston,NC,27252
Cleveland,CD,LF*,2301-CDLF-1997,Cleveland County CDLF,Active,Mr. Josh Davis,(704) 447-8204,,1607 Airport Rd,1607 Airport Rd,"1607 Airport Rd, Shelby, NC",Shelby,NC,28150
Columbus,CD,TP,2404-TRANSFER-2020,Big D T&P Facility,Active,Mr. Donald Grainger,(843) 340-8815,,1535 Old 87 Road,1535 Old 87 Road,"1535 Old 87 Road, Tabor City, NC",Tabor City,NC,28463
Cumberland,CD,LF*,2601-CDLF-1997,Cumberland County C&D Unit,Active,Ms. Amanda Bader,(910) 438-4041,698 Ann Street,,698 Ann Street,"698 Ann Street, Fayetteville, NC",Fayetteville,NC,28301
Cumberland,CD,Trans,2613-TRANSFER-2010,AAA Hauling Of NC Inc,Active,Mr. Kenneth Hardin,(910) 321-6037,1171 S Eastern Blvd,,1171 S Eastern Blvd,"1171 S Eastern Blvd, Fayetteville, NC",Fayetteville,NC,28306
Currituck,CD,Trans,2705T-TRANSFER-2011,Soundside C&D Waste Transfer & Recycling Center,Active,Mrs. Kim Newbern,(252) 491-8666,7565 Caratoke Hwy,,7565 Caratoke Hwy,"7565 Caratoke Hwy, Jarvisburg, NC",Jarvisburg,NC,27947
Currituck,CD,Trans,2706-TRANSFER-2013,"Bay Disposal, LLC",Active,Mrs. Pamela Marlowe,(252) 455-4103,8546 Caratoke Hwy,,8546 Caratoke Hwy,"8546 Caratoke Hwy, Powells Point, NC",Powells Point,NC,27966
Dare,CD,LF,2803-CDLF-1995,Dare County C&D Landfill,Active,Mr. Dougals Huff,(252) 475-5843,,1603 Cub Rd,1603 Cub Rd,"1603 Cub Rd, Manteo, NC",Manteo,NC,27954
